Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,SNRNP40,-1.13,0.128,1.02,VE821
HeLA,SNRNP48,0.27,6.05E-01,1.02,VE821
HeLA,SNRNP70,1.08,0.861,0.992,VE821
HeLA,SNRPA,-0.11,0.457,1.03,VE821
HeLA,SNRPB,0.41,0.657,1.01,VE821
HeLA,SNRPD3,-1.14,0.128,1.02,VE821
HeLA,SNRPN,0.62,0.733,1,VE821
HeLA,SNTA1,1.13,0.87,0.991,VE821
HeLA,SNTB1,0.15,0.558,1.02,VE821
HeLA,SNTB2,0.94,0.826,0.993,VE821
HeLA,SNTG1,-1.28,0.0999,1,VE821
HeLA,SNTG2,-1.01,0.155,1.03,VE821
HeLA,SNTN,1.8,0.964,0.994,VE821
HeLA,SNUPN,-0.09,0.463,1.03,VE821
HeLA,SNW1,0.79,0.785,0.997,VE821
HeLA,SNX1,0.06,0.526,1.02,VE821
HeLA,SNX10,-1.65,0.049,0.903,VE821
HeLA,SNX11,1.37,0.915,0.992,VE821
HeLA,SNX12,0.37,0.645,1.01,VE821
HeLA,SNX13,-0.01,0.495,1.02,VE821
HeLA,SNX14,1.58,0.943,0.995,VE821
HeLA,SNX15,-0.36,0.359,1.04,VE821
HeLA,SNX16,0.01,0.505,1.02,VE821
HeLA,SNX17,1.28,0.899,0.991,VE821
HeLA,SNX18,-0.92,0.179,1.03,VE821
HeLA,SNX19,1.06,0.855,0.993,VE821
HeLA,SNX2,-0.2,0.422,1.04,VE821
HeLA,SNX20,-1.59,0.0562,0.921,VE821
HeLA,SNX21,0.17,0.567,1.02,VE821
HeLA,SNX22,-0.9,0.183,1.03,VE821
HeLA,SNX24,0.44,0.672,1.01,VE821
HeLA,SNX25,1.58,0.943,0.996,VE821
HeLA,SNX27,-1.07,0.143,1.03,VE821
HeLA,SNX29,-0.23,0.41,1.04,VE821
HeLA,SNX3,-0.18,0.429,1.03,VE821
HeLA,SNX30,-0.07,0.47,1.03,VE821
HeLA,SNX31,0.28,0.611,1.01,VE821
HeLA,SNX32,0,0.502,1.02,VE821
HeLA,SNX33,-0.24,0.405,1.04,VE821
HeLA,SNX4,-0.18,0.427,1.03,VE821
HeLA,SNX6,0.98,0.838,0.993,VE821
HeLA,SNX8,0.19,0.575,1.02,VE821
HeLA,SNX9,-0.79,0.213,1.04,VE821
HeLA,SOAT1,0.58,0.719,1,VE821
HeLA,SOAT2,-1.71,0.044,0.886,VE821
HeLA,SOBP,0.49,0.689,1.01,VE821
HeLA,SOCS1,-0.81,0.208,1.04,VE821
HeLA,SOCS2,0.43,0.665,1.01,VE821
HeLA,SOCS3,-0.07,0.473,1.03,VE821
HeLA,SOCS4,-0.16,0.435,1.03,VE821
HeLA,SOCS6,0.56,0.711,1,VE821
HeLA,SOCS7,-2.21,0.0134,0.7,VE821
HeLA,SOD1,-0.73,0.231,1.05,VE821
HeLA,SOD2,0.22,0.589,1.02,VE821
HeLA,SOD3,-0.09,0.464,1.03,VE821
HeLA,SOGA1,-0.32,0.373,1.04,VE821
HeLA,SOGA2,-0.64,0.261,1.05,VE821
HeLA,SOGA3,0.47,0.68,1.01,VE821
HeLA,SOHLH1,1.7,0.955,0.996,VE821
HeLA,SOHLH2,-0.85,0.197,1.03,VE821
HeLA,SON,0.45,0.672,1.01,VE821
