Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,MPI,1.21,0.886,0.989,AZD6738
HCT116,MPL,-0.12,0.453,1.02,AZD6738
HCT116,MPLKIP,-2.61,0.00456,0.724,AZD6738
HCT116,MPND,0.5,0.69,0.99,AZD6738
HCT116,MPO,0.86,0.804,0.984,AZD6738
HCT116,MPP1,-0.29,0.385,1.03,AZD6738
HCT116,MPP2,0.12,0.549,1,AZD6738
HCT116,MPP3,-1.35,0.0888,1.08,AZD6738
HCT116,MPP4,-0.33,0.37,1.03,AZD6738
HCT116,MPP5,-0.43,0.333,1.03,AZD6738
HCT116,MPP6,1.75,0.96,0.997,AZD6738
HCT116,MPP7,0.18,0.573,0.999,AZD6738
HCT116,MPPE1,-0.61,0.27,1.05,AZD6738
HCT116,MPPED1,-1.27,0.102,1.07,AZD6738
HCT116,MPPED2,-0.88,0.19,1.08,AZD6738
HCT116,MPRIP,-1.02,0.153,1.09,AZD6738
HCT116,MPST,0.07,0.529,1,AZD6738
HCT116,MPV17,-1.12,0.132,1.08,AZD6738
HCT116,MPV17L,-0.38,0.351,1.03,AZD6738
HCT116,MPV17L2,2.07,0.981,1,AZD6738
HCT116,MPZ,-1.13,0.129,1.08,AZD6738
HCT116,MPZL1,1,0.841,0.986,AZD6738
HCT116,MPZL2,-1.45,0.0731,1.07,AZD6738
HCT116,MPZL3,-0.41,0.342,1.03,AZD6738
HCT116,MR1,0.07,0.526,1.01,AZD6738
HCT116,MRAP,-0.36,0.361,1.03,AZD6738
HCT116,MRAP2,-1.49,0.0683,1.05,AZD6738
HCT116,MRAS,-0.65,0.258,1.05,AZD6738
HCT116,MRC2,0.57,0.714,0.988,AZD6738
HCT116,MRE11A,-0.87,0.193,1.07,AZD6738
HCT116,MREG,0.66,0.746,0.988,AZD6738
HCT116,MRFAP1,0.74,0.771,0.984,AZD6738
HCT116,MRFAP1L1,0.75,0.773,0.984,AZD6738
HCT116,MRGBP,0.08,0.53,1,AZD6738
HCT116,MRGPRD,-0.97,0.165,1.08,AZD6738
HCT116,MRGPRE,0.47,0.682,0.99,AZD6738
HCT116,MRGPRF,-0.12,0.453,1.02,AZD6738
HCT116,MRGPRG,-0.7,0.241,1.06,AZD6738
HCT116,MRGPRX1,-1.37,0.0857,1.08,AZD6738
HCT116,MRGPRX2,-0.51,0.305,1.03,AZD6738
HCT116,MRI1,0.02,0.508,1.01,AZD6738
HCT116,MRM1,-0.62,0.268,1.05,AZD6738
HCT116,MRO,0.77,0.781,0.984,AZD6738
HCT116,MROH1,-2.18,0.0147,0.89,AZD6738
HCT116,MROH2A,0.32,0.624,0.995,AZD6738
HCT116,MROH2B,-1.86,0.0311,0.944,AZD6738
HCT116,MROH6,1.22,0.889,0.989,AZD6738
HCT116,MROH7,0.71,0.761,0.984,AZD6738
HCT116,MROH9,0.66,0.745,0.988,AZD6738
HCT116,MRP63,1.47,0.929,0.994,AZD6738
