Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,LAMP2,-0.1,0.461,1.06,AZD6738
RPE1-hTER_p53,LAMP3,-0.22,0.412,1.08,AZD6738
RPE1-hTER_p53,LAMP5,1.52,0.936,0.977,AZD6738
RPE1-hTER_p53,LAMTOR1,1.93,0.973,0.989,AZD6738
RPE1-hTER_p53,LAMTOR2,1.7,0.955,0.982,AZD6738
RPE1-hTER_p53,LAMTOR4,1,0.842,0.969,AZD6738
RPE1-hTER_p53,LAMTOR5,1.17,0.878,0.969,AZD6738
RPE1-hTER_p53,LANCL1,0.92,0.821,0.971,AZD6738
RPE1-hTER_p53,LANCL2,1,0.841,0.97,AZD6738
RPE1-hTER_p53,LANCL3,0.41,0.658,0.991,AZD6738
RPE1-hTER_p53,LAP3,1.29,0.902,0.97,AZD6738
RPE1-hTER_p53,LAPTM4A,-0.05,0.48,1.05,AZD6738
RPE1-hTER_p53,LAPTM4B,-0.27,0.393,1.09,AZD6738
RPE1-hTER_p53,LAPTM5,0.24,0.594,1.01,AZD6738
RPE1-hTER_p53,LARGE,-1.34,0.0898,1.24,AZD6738
RPE1-hTER_p53,LARP1,1.86,0.968,0.988,AZD6738
RPE1-hTER_p53,LARP1B,0.9,0.815,0.973,AZD6738
RPE1-hTER_p53,LARP4B,0.99,0.839,0.97,AZD6738
RPE1-hTER_p53,LARP6,1.28,0.899,0.969,AZD6738
RPE1-hTER_p53,LARP7,0.59,0.724,0.98,AZD6738
RPE1-hTER_p53,LARS,1.2,0.885,0.968,AZD6738
RPE1-hTER_p53,LARS2,1.84,0.967,0.987,AZD6738
RPE1-hTER_p53,LAS1L,1.17,0.88,0.969,AZD6738
RPE1-hTER_p53,LASP1,0.34,0.633,0.997,AZD6738
RPE1-hTER_p53,LAT,-1.4,0.0803,1.24,AZD6738
RPE1-hTER_p53,LAT2,-1.58,0.057,1.25,AZD6738
RPE1-hTER_p53,LATS1,1.07,0.857,0.97,AZD6738
RPE1-hTER_p53,LATS2,0.4,0.654,0.992,AZD6738
RPE1-hTER_p53,LAX1,0.08,0.533,1.03,AZD6738
RPE1-hTER_p53,LAYN,0.68,0.752,0.979,AZD6738
RPE1-hTER_p53,LBH,0.19,0.574,1.02,AZD6738
RPE1-hTER_p53,LBP,-0.15,0.439,1.07,AZD6738
RPE1-hTER_p53,LBR,-1.01,0.157,1.23,AZD6738
RPE1-hTER_p53,LBX1,0.16,0.563,1.02,AZD6738
RPE1-hTER_p53,LBX2,0.23,0.592,1.01,AZD6738
RPE1-hTER_p53,LCA5,0.59,0.723,0.98,AZD6738
RPE1-hTER_p53,LCA5L,0.17,0.569,1.02,AZD6738
RPE1-hTER_p53,LCAT,0.33,0.629,0.999,AZD6738
RPE1-hTER_p53,LCK,-0.33,0.372,1.1,AZD6738
RPE1-hTER_p53,LCLAT1,-1.92,0.0276,1.15,AZD6738
RPE1-hTER_p53,LCMT1,-10.72,4.13E-27,1.81E-23,AZD6738
RPE1-hTER_p53,LCMT2,-0.42,0.336,1.12,AZD6738
RPE1-hTER_p53,LCN10,1.02,0.846,0.97,AZD6738
RPE1-hTER_p53,LCN12,1.42,0.922,0.972,AZD6738
RPE1-hTER_p53,LCN15,-0.52,0.302,1.14,AZD6738
RPE1-hTER_p53,LCN2,1.6,0.945,0.979,AZD6738
RPE1-hTER_p53,LCN6,-0.84,0.201,1.2,AZD6738
RPE1-hTER_p53,LCN8,1.39,0.918,0.972,AZD6738
RPE1-hTER_p53,LCN9,-0.49,0.312,1.13,AZD6738
RPE1-hTER_p53,LCNL1,0.82,0.794,0.974,AZD6738
RPE1-hTER_p53,LCOR,-0.25,0.403,1.09,AZD6738
RPE1-hTER_p53,LCORL,0.08,0.531,1.03,AZD6738
RPE1-hTER_p53,LCP1,0.22,0.586,1.01,AZD6738
RPE1-hTER_p53,LCP2,0.34,0.633,0.998,AZD6738
RPE1-hTER_p53,LCT,-1.43,0.076,1.24,AZD6738
RPE1-hTER_p53,LCTL,0.02,0.509,1.04,AZD6738
RPE1-hTER_p53,LDB1,-0.59,0.277,1.15,AZD6738
RPE1-hTER_p53,LDB2,-0.11,0.458,1.06,AZD6738
RPE1-hTER_p53,LDB3,-0.1,0.461,1.06,AZD6738
RPE1-hTER_p53,LDHA,-0.49,0.311,1.13,AZD6738
RPE1-hTER_p53,LDHC,0.27,0.607,1,AZD6738
RPE1-hTER_p53,LDHD,0.81,0.79,0.974,AZD6738
RPE1-hTER_p53,LDLR,-0.09,0.465,1.06,AZD6738
RPE1-hTER_p53,LDLRAD1,0.06,0.523,1.03,AZD6738
RPE1-hTER_p53,LDLRAD2,-0.05,0.48,1.05,AZD6738
RPE1-hTER_p53,LDLRAD3,-1.65,0.0497,1.24,AZD6738
RPE1-hTER_p53,LDLRAD4,-0.76,0.223,1.18,AZD6738
RPE1-hTER_p53,LDLRAP1,0.03,0.511,1.04,AZD6738
RPE1-hTER_p53,LDOC1,1.09,0.861,0.97,AZD6738
RPE1-hTER_p53,LDOC1L,0.73,0.766,0.977,AZD6738
RPE1-hTER_p53,LECT1,0.94,0.826,0.971,AZD6738
RPE1-hTER_p53,LECT2,0.33,0.631,0.998,AZD6738
RPE1-hTER_p53,LEF1,0.84,0.8,0.973,AZD6738
RPE1-hTER_p53,LEFTY1,0.71,0.761,0.978,AZD6738
RPE1-hTER_p53,LEKR1,1.24,0.892,0.968,AZD6738
RPE1-hTER_p53,LELP1,0.37,0.644,0.995,AZD6738
RPE1-hTER_p53,LEMD1,0.9,0.816,0.973,AZD6738
RPE1-hTER_p53,LEMD2,-0.76,0.224,1.18,AZD6738
RPE1-hTER_p53,LEMD3,-0.62,0.266,1.16,AZD6738
RPE1-hTER_p53,LENG1,0.01,0.505,1.04,AZD6738
RPE1-hTER_p53,LENG8,0.47,0.682,0.988,AZD6738
RPE1-hTER_p53,LENG9,0.46,0.676,0.989,AZD6738
RPE1-hTER_p53,LEO1,0.19,0.575,1.02,AZD6738
RPE1-hTER_p53,LEP,0.35,0.637,0.996,AZD6738
RPE1-hTER_p53,LEPR,-1.3,0.096,1.26,AZD6738
RPE1-hTER_p53,LEPRE1,0.61,0.729,0.98,AZD6738
RPE1-hTER_p53,LEPREL1,-0.85,0.198,1.2,AZD6738
RPE1-hTER_p53,LEPREL4,-0.95,0.172,1.21,AZD6738
RPE1-hTER_p53,LEPROT,-1.38,0.0837,1.25,AZD6738
RPE1-hTER_p53,LEPROTL1,-0.9,0.183,1.21,AZD6738
RPE1-hTER_p53,LETM1,0.03,0.514,1.04,AZD6738
RPE1-hTER_p53,LETM2,0.33,0.63,0.998,AZD6738
RPE1-hTER_p53,LETMD1,0.16,0.564,1.02,AZD6738
RPE1-hTER_p53,LEUTX,-0.47,0.32,1.12,AZD6738
RPE1-hTER_p53,LFNG,1.07,0.857,0.97,AZD6738
RPE1-hTER_p53,LGALS1,-0.36,0.359,1.11,AZD6738
RPE1-hTER_p53,LGALS12,0.13,0.553,1.02,AZD6738
