Cell_line,GENE,normZ,p-value,FDR,Treatment
293A,SAMD9L,2.13,0.983,0.998,AZD6738
293A,SAMHD1,0.72,0.765,0.997,AZD6738
293A,SAMM50,-2.28,0.0115,0.727,AZD6738
293A,SAMSN1,0.1,0.54,1.01,AZD6738
293A,SAP130,0.66,0.747,0.998,AZD6738
293A,SAP18,0.23,0.592,1.01,AZD6738
293A,SAP30,1.19,0.882,0.993,AZD6738
293A,SAP30BP,-0.35,0.363,1.04,AZD6738
293A,SAP30L,-0.57,0.284,1.04,AZD6738
293A,SAPCD1,-1.2,0.116,1.01,AZD6738
293A,SAPCD2,0.56,0.711,1,AZD6738
293A,SAR1B,-0.57,0.284,1.04,AZD6738
293A,SARDH,-0.56,0.287,1.04,AZD6738
293A,SARM1,0.61,0.729,1,AZD6738
293A,SARS,0.24,0.596,1.01,AZD6738
293A,SARS2,0.16,0.565,1.01,AZD6738
293A,SART1,-1.12,0.13,1.02,AZD6738
293A,SART3,-0.34,0.365,1.04,AZD6738
293A,SASH1,-0.02,0.492,1.02,AZD6738
293A,SASH3,-0.52,0.3,1.04,AZD6738
293A,SASS6,0.19,0.575,1.01,AZD6738
293A,SAT1,0.4,0.655,1.01,AZD6738
293A,SAT2,2.15,0.984,0.998,AZD6738
293A,SATB1,-0.11,0.456,1.02,AZD6738
293A,SATB2,-1.97,0.0244,0.858,AZD6738
293A,SATL1,0.7,0.759,0.997,AZD6738
293A,SAV1,0.05,0.52,1.02,AZD6738
293A,SAYSD1,-0.13,0.447,1.03,AZD6738
293A,SBF1,-1.37,0.086,1,AZD6738
293A,SBF2,0.45,0.675,1.01,AZD6738
293A,SBK1,0.34,0.635,1.01,AZD6738
293A,SBK2,-0.92,0.18,1.04,AZD6738
293A,SBNO1,0.36,0.639,1.01,AZD6738
293A,SBNO2,-1.21,0.114,1.01,AZD6738
293A,SBSN,-0.03,0.49,1.02,AZD6738
293A,SBSPON,-0.01,0.497,1.02,AZD6738
293A,SC5D,-0.25,0.401,1.04,AZD6738
293A,SCAF1,0.81,0.791,0.993,AZD6738
293A,SCAF11,0.36,0.642,1.01,AZD6738
293A,SCAF4,-2.06,0.0199,0.836,AZD6738
293A,SCAF8,-1.18,0.12,1.02,AZD6738
293A,SCAI,0.91,0.818,0.993,AZD6738
293A,SCAMP2,0.22,0.586,1.01,AZD6738
293A,SCAMP3,-0.9,0.183,1.03,AZD6738
293A,SCAMP4,1.23,0.89,0.993,AZD6738
293A,SCAMP5,-0.07,0.473,1.02,AZD6738
293A,SCAND1,1.49,0.932,0.992,AZD6738
293A,SCAND3,0.63,0.734,1,AZD6738
293A,SCAP,1.27,0.898,0.993,AZD6738
293A,SCAPER,0.47,0.681,1.01,AZD6738
293A,SCARA3,-0.48,0.316,1.04,AZD6738
293A,SCARA5,-0.73,0.232,1.03,AZD6738
293A,SCARB1,-1.13,0.129,1.01,AZD6738
293A,SCARB2,2.33,0.99,0.998,AZD6738
293A,SCARF1,-0.88,0.19,1.03,AZD6738
293A,SCARF2,-0.31,0.377,1.04,AZD6738
293A,SCCPDH,0.75,0.772,0.995,AZD6738
293A,SCD5,0.97,0.835,0.993,AZD6738
293A,SCEL,0.11,0.543,1.01,AZD6738
293A,SCFD1,-1.45,0.0732,0.989,AZD6738
293A,SCFD2,0.57,0.716,1,AZD6738
293A,SCG2,0.16,0.563,1.01,AZD6738
293A,SCG3,0.18,0.573,1.01,AZD6738
293A,SCG5,0.61,0.73,1,AZD6738
293A,SCGB1C1,1.16,0.876,0.992,AZD6738
293A,SCGB2A2,-1.47,0.0703,0.987,AZD6738
293A,SCGB3A1,-0.37,0.357,1.04,AZD6738
293A,SCGB3A2,1.23,0.891,0.993,AZD6738
293A,SCGN,0.66,0.744,0.999,AZD6738
293A,SCIMP,1.75,0.96,0.994,AZD6738
293A,SCIN,-0.33,0.369,1.04,AZD6738
293A,SCLT1,0.36,0.642,1.01,AZD6738
293A,SCLY,0.93,0.823,0.994,AZD6738
293A,SCMH1,1.43,0.924,0.991,AZD6738
293A,SCML1,0.17,0.568,1.01,AZD6738
293A,SCML2,0.35,0.637,1.01,AZD6738
293A,SCML4,-0.92,0.179,1.04,AZD6738
293A,SCN10A,0.15,0.56,1.01,AZD6738
