Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,UQCR11,1.78,0.962,0.996,AZD6738
MCF10A,UQCRC1,1.13,0.87,0.991,AZD6738
MCF10A,UQCRC2,0.4,0.656,1,AZD6738
MCF10A,UQCRQ,1.45,0.927,0.994,AZD6738
MCF10A,URB1,-1.23,0.11,1.07,AZD6738
MCF10A,URB2,-1.84,0.0325,0.948,AZD6738
MCF10A,URGCP,0.62,0.732,0.992,AZD6738
MCF10A,URI1,-1.31,0.0946,1.07,AZD6738
MCF10A,URM1,1.52,0.936,0.994,AZD6738
MCF10A,UROC1,-0.48,0.317,1.04,AZD6738
MCF10A,UROD,-2.01,0.0222,0.899,AZD6738
MCF10A,USB1,-0.98,0.163,1.08,AZD6738
MCF10A,USE1,1.66,0.952,0.994,AZD6738
MCF10A,USF1,-0.33,0.371,1.03,AZD6738
MCF10A,USF2,0.16,0.562,1,AZD6738
MCF10A,USH1C,-0.02,0.492,1.02,AZD6738
MCF10A,USH1G,0.76,0.776,0.995,AZD6738
MCF10A,USH2A,0.55,0.71,0.992,AZD6738
MCF10A,USHBP1,2.01,0.978,0.996,AZD6738
MCF10A,USP1,-0.29,0.387,1.03,AZD6738
MCF10A,USP10,-2.76,0.00291,0.445,AZD6738
MCF10A,USP11,1.32,0.906,0.993,AZD6738
MCF10A,USP13,-0.56,0.288,1.05,AZD6738
MCF10A,USP14,-1.44,0.0748,1.06,AZD6738
MCF10A,USP15,0.03,0.513,1.01,AZD6738
MCF10A,USP16,0.41,0.659,1,AZD6738
MCF10A,USP19,-0.43,0.333,1.04,AZD6738
MCF10A,USP2,-0.68,0.248,1.05,AZD6738
MCF10A,USP20,-1.01,0.155,1.08,AZD6738
MCF10A,USP21,-1.05,0.148,1.07,AZD6738
MCF10A,USP22,0.13,0.551,1.01,AZD6738
MCF10A,USP24,-1.4,0.0804,1.06,AZD6738
MCF10A,USP25,0.04,0.518,1.01,AZD6738
MCF10A,USP26,1.17,0.879,0.991,AZD6738
MCF10A,USP27X,2.11,0.982,0.998,AZD6738
MCF10A,USP28,0.26,0.604,1,AZD6738
MCF10A,USP29,-0.21,0.415,1.02,AZD6738
MCF10A,USP3,0.32,0.627,1,AZD6738
MCF10A,USP30,-0.83,0.205,1.06,AZD6738
MCF10A,USP31,-0.26,3.97E-01,1.02E+00,AZD6738
MCF10A,USP32,0.99,0.839,0.989,AZD6738
MCF10A,USP33,-0.84,0.201,1.06,AZD6738
MCF10A,USP34,-1.98,0.024,0.915,AZD6738
MCF10A,USP35,-0.37,0.356,1.03,AZD6738
MCF10A,USP36,-0.51,0.303,1.05,AZD6738
MCF10A,USP37,-2.12,0.0172,0.857,AZD6738
MCF10A,USP38,-0.29,0.387,1.02,AZD6738
MCF10A,USP39,-1.1,0.136,1.07,AZD6738
MCF10A,USP4,0.41,0.661,0.999,AZD6738
MCF10A,USP40,-0.3,0.382,1.03,AZD6738
MCF10A,USP42,0.59,0.721,0.992,AZD6738
MCF10A,USP43,1.44,0.925,0.994,AZD6738
MCF10A,USP44,-0.62,0.269,1.05,AZD6738
MCF10A,USP45,1.64,0.95,0.995,AZD6738
MCF10A,USP46,1.77,0.961,0.995,AZD6738
MCF10A,USP47,-1.29,0.0988,1.07,AZD6738
MCF10A,USP48,-3.74,0.0000906,0.0608,AZD6738
MCF10A,USP49,-0.16,0.438,1.02,AZD6738
MCF10A,USP5,0.88,0.81,0.99,AZD6738
MCF10A,USP50,-1.65,0.0491,1,AZD6738
MCF10A,USP51,1.13,0.87,0.991,AZD6738
MCF10A,USP54,-0.91,1.80E-01,1.07E+00,AZD6738
MCF10A,USP6,2.45,0.993,1,AZD6738
MCF10A,USP6NL,0.61,0.73,0.992,AZD6738
MCF10A,USP7,-0.68,0.247,1.05,AZD6738
MCF10A,USP8,0.3,0.618,1,AZD6738
MCF10A,USP9X,-3.76,0.0000861,0.0602,AZD6738
MCF10A,USP9Y,-0.12,0.451,1.02,AZD6738
MCF10A,USPL1,-1.49,0.0681,1.05,AZD6738
MCF10A,UST,-0.65,0.256,1.05,AZD6738
MCF10A,UTF1,-0.45,0.325,1.04,AZD6738
MCF10A,UTP11L,1.68,0.954,0.994,AZD6738
MCF10A,UTP14A,-0.05,0.482,1.02,AZD6738
MCF10A,UTP14C,-0.55,0.291,1.05,AZD6738
MCF10A,UTP18,0.99,0.838,0.99,AZD6738
MCF10A,UTP20,0.4,0.656,1,AZD6738
MCF10A,UTP23,-0.95,0.172,1.07,AZD6738
MCF10A,UTP3,1.31,0.906,0.993,AZD6738
MCF10A,UTP6,-0.72,0.236,1.06,AZD6738
MCF10A,UTRN,-0.53,0.299,1.05,AZD6738
MCF10A,UTS2,-0.47,0.32,1.04,AZD6738
MCF10A,UTS2R,-1.27,0.101,1.07,AZD6738
MCF10A,UTY,-0.56,0.289,1.05,AZD6738
MCF10A,UVRAG,0.28,0.61,1,AZD6738
MCF10A,UVSSA,1.25,0.895,0.993,AZD6738
